?EH?R,KT
CHERNIHIV,-21
DNIPROPETROVK,-18
DONETSK,-19
KHARKIV,-20
KHERSON,-16
KRYVYI RIH,-18
KYIV,-18
LUHANSK,-21
LYIV,-18
MARIUPOL,-16
ODESA,-14
POLTAVA,-19
SIMFEROPOL,-19
VINNYTSIA,-19
ZAPORIZHZHIA,-18
ADIYAMAN,-9
AFYON,-12
A?RI,-24
AMASYA,-12
ANKARA,-12
ANTALYA,3
ARTV?N,-9
AYDIN,-3
BALIKES?R,-3
BANDIRMA,-6
B?LEC?K,-9
B?NG�L,-18
B?TL?S,-15
BOLU,-15
BURDUR,-9
BURSA,-6
�ANAKKALE,-3
�ANKIRI,-15
�ORUM,-15
DEN?ZL?,-6
D?YARBAKIR,-9
ED?RNE,-9
ELAZI?,-12
ERZ?NCAN,-18
ERZURUM,-21
ESK??EH?R,-12
GAZ?ANTEP,-9
G?RESUN,-3
G�M�?HANE,-12
HAKKAR?,-24
ANTAKYA,0
?SKENDERUN,3
ISPARTA,-9
MERS?N,3
TARSUS,0
?STANBUL,-3
?ZM?R,0
KARS,-27
KASTAMONU,-12
KAYSER?,-15
KIRKLAREL?,-9
KIR?EH?R,-12
?ZM?T,-3
KONYA,-12
K�TAHYA�,-12
MALATYA,-12
MAN?SA,-3
KAHRAMANMARA?,-9
MARD?N,-6
MU?LA,-3
MU?,-18
NEV?EH?R,-15
N??DE,-15
ORDU,-3
R?ZE,-3
SAKARYA,-3
SAMSUN,-3
S??RT,-9
S?NOP,-3
S?VAS,-18
TEK?RDA?,-6
TOKAT,-15
TRABZON,-3
TUNCEL?,-18
?ANLIURFA,-6
U?AK,-9
VAN,-15
YOZGAT,-15
ZONGULDAK,-3
AKSARAY,-15
BAYBURT,-15
KARAMAN,-12
KIRIKKALE,-12
BATMAN,-9
?IRNAK,-6
ARDAHAN,-21
BARTIN,-3
I?DIR,-18
YALOVA,-3
KARAB�K,-12
K?L?S,-6
OSMAN?YE,-3
NAH�IVAN,-30
LEFKO?A,5
G.MAGOSA,2
LEFKE,5
G�ZELYURT,5
KARPAZ,5
G?RNE,5
